timestamp,subject_id,status,pre_threat,cog_load,action
2026-05-25T22:52:59.466906,subj_0,ELEVATED,46.53,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.516910,subj_0,ELEVATED,46.94,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.558941,subj_0,ELEVATED,46.73,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.611224,subj_0,ELEVATED,46.70,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.654237,subj_0,ELEVATED,46.58,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.702619,subj_0,ELEVATED,46.40,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.748629,subj_0,ELEVATED,46.07,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.796059,subj_0,ELEVATED,45.67,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.842863,subj_0,ELEVATED,45.45,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.889599,subj_0,ELEVATED,45.15,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:52:59.934584,subj_0,STRESSED,44.88,100.00,OBSERVE
2026-05-25T22:52:59.983915,subj_0,STRESSED,44.68,100.00,OBSERVE
2026-05-25T22:53:00.031937,subj_0,STRESSED,44.55,100.00,OBSERVE
2026-05-25T22:53:00.076748,subj_0,STRESSED,44.33,100.00,OBSERVE
2026-05-25T22:53:00.124388,subj_0,STRESSED,44.16,100.00,OBSERVE
2026-05-25T22:53:00.167213,subj_0,STRESSED,44.28,100.00,OBSERVE
2026-05-25T22:53:00.201088,subj_0,STRESSED,44.40,100.00,OBSERVE
2026-05-25T22:53:00.246288,subj_0,STRESSED,44.38,100.00,OBSERVE
2026-05-25T22:53:00.294031,subj_0,STRESSED,44.61,100.00,OBSERVE
2026-05-25T22:53:00.338699,subj_0,STRESSED,44.74,100.00,OBSERVE
2026-05-25T22:53:00.373026,subj_0,STRESSED,44.97,100.00,OBSERVE
2026-05-25T22:53:00.422465,subj_0,ELEVATED,45.35,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.466990,subj_0,ELEVATED,45.76,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.520621,subj_0,ELEVATED,45.98,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.561154,subj_0,ELEVATED,45.77,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.605375,subj_0,ELEVATED,46.64,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.659060,subj_0,ELEVATED,46.79,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.702360,subj_0,ELEVATED,47.00,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.748034,subj_0,ELEVATED,46.99,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.796424,subj_0,ELEVATED,46.98,100.00,HEIGHTENED_AWARENESS
