timestamp,subject_id,status,pre_threat,cog_load,action
2026-05-25T23:07:02.609025,subj_0,SPOOF_DETECTED,40.23,22.78,VERIFY_LIVENESS
2026-05-25T23:07:03.663776,subj_0,SPOOF_DETECTED,40.07,22.59,VERIFY_LIVENESS
2026-05-25T23:07:04.738138,subj_0,SPOOF_DETECTED,40.02,12.53,VERIFY_LIVENESS
2026-05-25T23:07:05.811506,subj_0,SPOOF_DETECTED,39.99,22.49,VERIFY_LIVENESS
2026-05-25T23:07:06.890464,subj_0,SPOOF_DETECTED,39.89,32.36,VERIFY_LIVENESS
2026-05-25T23:07:07.967211,subj_0,SPOOF_DETECTED,39.64,32.05,VERIFY_LIVENESS
2026-05-25T23:07:09.044860,subj_0,SPOOF_DETECTED,39.40,31.75,VERIFY_LIVENESS
2026-05-25T23:07:10.129728,subj_0,SPOOF_DETECTED,39.19,31.49,VERIFY_LIVENESS
2026-05-25T23:07:11.206557,subj_0,SPOOF_DETECTED,39.12,31.40,VERIFY_LIVENESS
2026-05-25T23:07:12.274208,subj_0,SPOOF_DETECTED,39.02,31.27,VERIFY_LIVENESS
2026-05-25T23:07:20.811282,subj_0,SPOOF_DETECTED,40.53,33.15,VERIFY_LIVENESS
2026-05-25T23:07:25.262906,subj_0,STRESSED,40.94,83.65,OBSERVE
2026-05-25T23:07:25.296450,subj_0,STRESSED,40.93,93.63,OBSERVE
2026-05-25T23:07:25.343755,subj_0,STRESSED,41.19,93.63,OBSERVE
2026-05-25T23:07:25.390238,subj_0,STRESSED,41.35,93.62,OBSERVE
2026-05-25T23:07:25.425577,subj_0,STRESSED,41.40,93.62,OBSERVE
2026-05-25T23:07:25.470092,subj_0,STRESSED,41.43,93.61,OBSERVE
2026-05-25T23:07:25.520993,subj_0,STRESSED,41.46,93.59,OBSERVE
2026-05-25T23:07:25.565896,subj_0,STRESSED,41.48,93.60,OBSERVE
2026-05-25T23:07:25.612503,subj_0,STRESSED,41.50,93.56,OBSERVE
2026-05-25T23:07:25.644951,subj_0,STRESSED,41.49,93.50,OBSERVE
2026-05-25T23:07:25.690728,subj_0,STRESSED,41.46,93.41,OBSERVE
2026-05-25T23:07:25.742202,subj_0,STRESSED,41.41,93.30,OBSERVE
2026-05-25T23:07:25.785861,subj_0,STRESSED,41.38,93.17,OBSERVE
2026-05-25T23:07:25.833942,subj_0,STRESSED,41.35,93.05,OBSERVE
2026-05-25T23:07:25.879148,subj_0,STRESSED,41.34,93.01,OBSERVE
2026-05-25T23:07:25.924318,subj_0,STRESSED,41.31,92.96,OBSERVE
2026-05-25T23:07:25.958335,subj_0,STRESSED,41.30,92.95,OBSERVE
2026-05-25T23:07:26.006542,subj_0,STRESSED,41.32,92.96,OBSERVE
2026-05-25T23:07:26.049557,subj_0,STRESSED,41.32,92.97,OBSERVE
2026-05-25T23:07:26.084355,subj_0,STRESSED,41.34,93.00,OBSERVE
2026-05-25T23:07:26.131927,subj_0,STRESSED,41.34,93.06,OBSERVE
2026-05-25T23:07:26.175983,subj_0,STRESSED,41.35,93.12,OBSERVE
2026-05-25T23:07:26.223115,subj_0,STRESSED,41.35,83.18,OBSERVE
2026-05-25T23:07:29.906148,subj_0,SPOOF_DETECTED,43.72,37.15,VERIFY_LIVENESS
2026-05-25T23:07:30.958832,subj_0,SPOOF_DETECTED,43.70,37.12,VERIFY_LIVENESS
2026-05-25T23:07:32.214200,subj_0,SPOOF_DETECTED,43.83,37.28,VERIFY_LIVENESS
2026-05-25T23:07:33.332018,subj_0,SPOOF_DETECTED,44.05,37.56,VERIFY_LIVENESS
2026-05-25T23:07:34.897230,subj_0,SPOOF_DETECTED,43.50,36.87,VERIFY_LIVENESS
